Designator,Mid X,Mid Y,Rotation,Layer
BT1,102.0,-76.0,0.0,bottom
C1,89.5,-72.5,270.0,bottom
C2,104.0,-90.5,270.0,bottom
C3,102.0,-104.0,180.0,bottom
C4,103.0,-109.0375,270.0,top
C5,110.0,-110.0,180.0,top
D1,95.0,-84.0,0.0,top
J1,112.0,-104.0,90.0,top
J2,97.0,-100.0,180.0,top
J3,116.5,-91.31,180.0,top
J4,88.0,-95.61,0.0,top
J5,88.0,-109.375,0.0,top
J6,115.565,-67.205,90.0,top
L1,106.0,-110.0,0.0,top
L2,101.816921,-105.870849,180.0,top
R1,96.0,-87.0,90.0,top
R2,104.5,-96.5,270.0,bottom
R3,110.0,-93.0,180.0,bottom
U1,103.0,-101.5,180.0,top
U2,103.5,-89.0,270.0,top
U3,107.5,-95.5,0.0,top
Y1,110.5,-99.5,0.0,top
